date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-05-23,60.31,4.69,0.0,4.69,60.31,4.69,0.0,4.69,AIGFS,20260522_12
2026-05-24,61.9,3.1,0.0,3.1,61.9,3.1,0.0,3.1,AIGFS,20260522_12
2026-05-25,65.78,0.0,0.78,0.78,65.78,0.0,0.78,0.78,AIGFS,20260522_12
2026-05-26,69.37,0.0,4.37,4.37,69.37,0.0,4.37,4.37,AIGFS,20260522_12
2026-05-27,71.23,0.0,6.23,6.23,71.23,0.0,6.23,6.23,AIGFS,20260522_12
2026-05-28,69.36,0.0,4.36,4.36,69.36,0.0,4.36,4.36,AIGFS,20260522_12
2026-05-29,66.19,0.0,1.19,1.19,66.19,0.0,1.19,1.19,AIGFS,20260522_12
2026-05-30,63.68,1.32,0.0,1.32,63.68,1.32,0.0,1.32,AIGFS,20260522_12
2026-05-31,64.32,0.68,0.0,0.68,64.32,0.68,0.0,0.68,AIGFS,20260522_12
2026-06-01,66.3,0.0,1.3,1.3,66.3,0.0,1.3,1.3,AIGFS,20260522_12
2026-06-02,69.51,0.0,4.51,4.51,69.51,0.0,4.51,4.51,AIGFS,20260522_12
2026-06-03,73.53,0.0,8.53,8.53,73.53,0.0,8.53,8.53,AIGFS,20260522_12
2026-06-04,76.45,0.0,11.45,11.45,76.45,0.0,11.45,11.45,AIGFS,20260522_12
2026-06-05,77.41,0.0,12.41,12.41,77.41,0.0,12.41,12.41,AIGFS,20260522_12
2026-06-06,74.19,0.0,9.19,9.19,74.19,0.0,9.19,9.19,AIGFS,20260522_12
