date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-07-12,75.26,0,10.26,10.26,75.26,0,10.26,10.26,AIGFS,20260711_00
2026-07-13,76.01,0,11.01,11.01,76.01,0,11.01,11.01,AIGFS,20260711_00
2026-07-14,79.3,0,14.3,14.3,79.3,0,14.3,14.3,AIGFS,20260711_00
2026-07-15,82.78,0,17.78,17.78,82.78,0,17.78,17.78,AIGFS,20260711_00
2026-07-16,80.73,0,15.73,15.73,80.73,0,15.73,15.73,AIGFS,20260711_00
2026-07-17,79.18,0,14.18,14.18,79.18,0,14.18,14.18,AIGFS,20260711_00
2026-07-18,76.66,0,11.66,11.66,76.66,0,11.66,11.66,AIGFS,20260711_00
2026-07-19,77.18,0,12.18,12.18,77.18,0,12.18,12.18,AIGFS,20260711_00
2026-07-20,77.81,0,12.81,12.81,77.81,0,12.81,12.81,AIGFS,20260711_00
2026-07-21,78.24,0,13.24,13.24,78.24,0,13.24,13.24,AIGFS,20260711_00
2026-07-22,77.43,0,12.43,12.43,77.43,0,12.43,12.43,AIGFS,20260711_00
2026-07-23,77.05,0,12.05,12.05,77.05,0,12.05,12.05,AIGFS,20260711_00
2026-07-24,77.71,0,12.71,12.71,77.71,0,12.71,12.71,AIGFS,20260711_00
2026-07-25,79.08,0,14.08,14.08,79.08,0,14.08,14.08,AIGFS,20260711_00
2026-07-26,78.42,0,13.42,13.42,78.42,0,13.42,13.42,AIGFS,20260711_00
