date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-22,44.36,20.64,44.36,20.64,ECMWF,20260222_00
2026-02-23,42.97,22.03,42.97,22.03,ECMWF,20260222_00
2026-02-24,42.84,22.16,42.84,22.16,ECMWF,20260222_00
2026-02-25,45.82,19.18,45.82,19.18,ECMWF,20260222_00
2026-02-26,50.16,14.84,50.16,14.84,ECMWF,20260222_00
2026-02-27,52.15,12.85,52.15,12.85,ECMWF,20260222_00
2026-02-28,51.83,13.17,51.83,13.17,ECMWF,20260222_00
2026-03-01,48.3,16.7,48.3,16.7,ECMWF,20260222_00
2026-03-02,45.92,19.08,45.92,19.08,ECMWF,20260222_00
2026-03-03,45.01,19.99,45.01,19.99,ECMWF,20260222_00
2026-03-04,42.93,22.07,42.93,22.07,ECMWF,20260222_00
2026-03-05,43.23,21.77,43.23,21.77,ECMWF,20260222_00
2026-03-06,39.67,25.33,39.67,25.33,ECMWF,20260222_00
2026-03-07,40.43,24.57,40.43,24.57,ECMWF,20260222_00
2026-03-08,45.29,19.71,45.29,19.71,ECMWF,20260222_00
2026-03-09,49.61,15.39,49.61,15.39,ECMWF,20260222_00
