date,mean_temp,tdd,model,run_id
2026-02-20,37.82,27.18,ECMWF,20260220_00
2026-02-21,37.88,27.12,ECMWF,20260220_00
2026-02-22,37.81,27.19,ECMWF,20260220_00
2026-02-23,37.36,27.64,ECMWF,20260220_00
2026-02-24,37.33,27.67,ECMWF,20260220_00
2026-02-25,37.44,27.56,ECMWF,20260220_00
2026-02-26,37.41,27.59,ECMWF,20260220_00
2026-02-27,38.14,26.86,ECMWF,20260220_00
2026-02-28,38.08,26.92,ECMWF,20260220_00
2026-03-01,38.48,26.52,ECMWF,20260220_00
2026-03-02,38.52,26.48,ECMWF,20260220_00
2026-03-03,38.58,26.42,ECMWF,20260220_00
2026-03-04,38.85,26.15,ECMWF,20260220_00
2026-03-05,38.92,26.08,ECMWF,20260220_00
2026-03-06,38.43,26.57,ECMWF,20260220_00
2026-03-07,38.07,26.93,ECMWF,20260220_00
