date,mean_temp,tdd,model,run_id
2026-02-18,37.89,27.11,ECMWF,20260218_00
2026-02-19,37.79,27.21,ECMWF,20260218_00
2026-02-20,37.84,27.16,ECMWF,20260218_00
2026-02-21,37.97,27.03,ECMWF,20260218_00
2026-02-22,38.01,26.99,ECMWF,20260218_00
2026-02-23,37.53,27.47,ECMWF,20260218_00
2026-02-24,37.44,27.56,ECMWF,20260218_00
2026-02-25,37.52,27.48,ECMWF,20260218_00
2026-02-26,38.01,26.99,ECMWF,20260218_00
2026-02-27,38.24,26.76,ECMWF,20260218_00
2026-02-28,38.1,26.9,ECMWF,20260218_00
2026-03-01,37.94,27.06,ECMWF,20260218_00
2026-03-02,37.56,27.44,ECMWF,20260218_00
2026-03-03,37.37,27.63,ECMWF,20260218_00
2026-03-04,37.73,27.27,ECMWF,20260218_00
2026-03-05,38.39,26.61,ECMWF,20260218_00
