date,mean_temp,tdd,model,run_id
2026-02-19,37.8,27.2,ECMWF,20260219_00
2026-02-20,37.81,27.19,ECMWF,20260219_00
2026-02-21,37.93,27.07,ECMWF,20260219_00
2026-02-22,37.87,27.13,ECMWF,20260219_00
2026-02-23,37.4,27.6,ECMWF,20260219_00
2026-02-24,37.35,27.65,ECMWF,20260219_00
2026-02-25,37.51,27.49,ECMWF,20260219_00
2026-02-26,37.87,27.13,ECMWF,20260219_00
2026-02-27,38.15,26.85,ECMWF,20260219_00
2026-02-28,37.89,27.11,ECMWF,20260219_00
2026-03-01,37.77,27.23,ECMWF,20260219_00
2026-03-02,37.47,27.53,ECMWF,20260219_00
2026-03-03,37.34,27.66,ECMWF,20260219_00
2026-03-04,37.69,27.31,ECMWF,20260219_00
2026-03-05,38.29,26.71,ECMWF,20260219_00
2026-03-06,38.78,26.22,ECMWF,20260219_00
