date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-23,43.54,21.46,30.51,34.49,ECMWF,20260223_00
2026-02-24,43.0,22.0,30.09,34.91,ECMWF,20260223_00
2026-02-25,46.3,18.7,34.03,30.97,ECMWF,20260223_00
2026-02-26,50.73,14.27,37.94,27.06,ECMWF,20260223_00
2026-02-27,52.37,12.63,38.95,26.05,ECMWF,20260223_00
2026-02-28,52.97,12.03,43.17,21.83,ECMWF,20260223_00
2026-03-01,50.01,14.99,39.88,25.12,ECMWF,20260223_00
2026-03-02,48.87,16.13,36.98,28.02,ECMWF,20260223_00
2026-03-03,49.01,15.99,37.34,27.66,ECMWF,20260223_00
2026-03-04,48.43,16.57,34.41,30.59,ECMWF,20260223_00
2026-03-05,49.94,15.06,39.52,25.48,ECMWF,20260223_00
2026-03-06,43.53,21.47,22.62,42.38,ECMWF,20260223_00
2026-03-07,43.42,21.58,24.7,40.3,ECMWF,20260223_00
2026-03-08,43.75,21.25,25.95,39.05,ECMWF,20260223_00
2026-03-09,44.34,20.66,29.59,35.41,ECMWF,20260223_00
2026-03-10,45.65,19.35,32.13,32.87,ECMWF,20260223_00
