date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260223,FOURCASTNETV2-SMALL,20260223_12_AI,27.1,37.9,0,37.9,27.1,37.9,0,37.9
20260224,FOURCASTNETV2-SMALL,20260223_12_AI,25.695,39.3,0,39.3,25.7,39.3,0,39.3
20260225,FOURCASTNETV2-SMALL,20260223_12_AI,31.415,33.58,0,33.58,31.42,33.58,0,33.58
20260226,FOURCASTNETV2-SMALL,20260223_12_AI,31.045,33.96,0,33.96,31.04,33.96,0,33.96
20260227,FOURCASTNETV2-SMALL,20260223_12_AI,33.64,31.36,0,31.36,33.64,31.36,0,31.36
20260228,FOURCASTNETV2-SMALL,20260223_12_AI,35.5725,29.43,0,29.43,35.57,29.43,0,29.43
20260301,FOURCASTNETV2-SMALL,20260223_12_AI,29.0525,35.95,0,35.95,29.05,35.95,0,35.95
20260302,FOURCASTNETV2-SMALL,20260223_12_AI,20.785,44.22,0,44.22,20.78,44.22,0,44.22
20260303,FOURCASTNETV2-SMALL,20260223_12_AI,22.575,42.42,0,42.42,22.58,42.42,0,42.42
20260304,FOURCASTNETV2-SMALL,20260223_12_AI,32.195,32.8,0,32.8,32.2,32.8,0,32.8
20260305,FOURCASTNETV2-SMALL,20260223_12_AI,31.5,33.5,0,33.5,31.5,33.5,0,33.5
20260306,FOURCASTNETV2-SMALL,20260223_12_AI,30.74,34.26,0,34.26,30.74,34.26,0,34.26
20260307,FOURCASTNETV2-SMALL,20260223_12_AI,39.7075,25.29,0,25.29,39.71,25.29,0,25.29
20260308,FOURCASTNETV2-SMALL,20260223_12_AI,42.5225,22.48,0,22.48,42.52,22.48,0,22.48
20260309,FOURCASTNETV2-SMALL,20260223_12_AI,45.5225,19.48,0,19.48,45.52,19.48,0,19.48
20260310,FOURCASTNETV2-SMALL,20260223_12_AI,47.06,17.94,0,17.94,47.06,17.94,0,17.94
