date,mean_temp,hdd,cdd,tdd,model,run_id
2026-03-01,44.12,20.88,0.0,20.88,GFS,20260301_06
2026-03-02,43.27,21.73,0.0,21.73,GFS,20260301_06
2026-03-03,46.33,18.67,0.0,18.67,GFS,20260301_06
2026-03-04,49.73,15.27,0.0,15.27,GFS,20260301_06
2026-03-05,50.66,14.34,0.0,14.34,GFS,20260301_06
2026-03-06,49.07,15.93,0.0,15.93,GFS,20260301_06
2026-03-07,49.95,15.05,0.0,15.05,GFS,20260301_06
2026-03-08,51.3,13.7,0.0,13.7,GFS,20260301_06
2026-03-09,53.14,11.86,0.0,11.86,GFS,20260301_06
2026-03-10,52.91,12.09,0.0,12.09,GFS,20260301_06
2026-03-11,53.16,11.84,0.0,11.84,GFS,20260301_06
2026-03-12,49.95,15.05,0.0,15.05,GFS,20260301_06
2026-03-13,46.36,18.64,0.0,18.64,GFS,20260301_06
2026-03-14,44.73,20.27,0.0,20.27,GFS,20260301_06
2026-03-15,45.76,19.24,0.0,19.24,GFS,20260301_06
2026-03-16,47.74,17.26,0.0,17.26,GFS,20260301_06
2026-03-17,49.7,15.3,0.0,15.3,GFS,20260301_06
