date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-13,52.75,12.25,0.0,12.25,GFS,20260313_18,24.5
2026-03-14,54.62,10.38,0.0,10.38,GFS,20260313_18,20.76
2026-03-15,51.05,13.95,0.0,13.95,GFS,20260313_18,27.9
2026-03-16,47.28,17.72,0.0,17.72,GFS,20260313_18,35.44
2026-03-17,48.16,16.84,0.0,16.84,GFS,20260313_18,33.68
2026-03-18,54.09,10.91,0.0,10.91,GFS,20260313_18,21.82
2026-03-19,59.85,5.15,0.0,5.15,GFS,20260313_18,10.3
2026-03-20,61.97,3.03,0.0,3.03,GFS,20260313_18,6.06
2026-03-21,62.85,2.15,0.0,2.15,GFS,20260313_18,4.3
2026-03-22,61.6,3.4,0.0,3.4,GFS,20260313_18,6.8
2026-03-23,57.16,7.84,0.0,7.84,GFS,20260313_18,15.68
2026-03-24,56.3,8.7,0.0,8.7,GFS,20260313_18,17.4
2026-03-25,54.11,10.89,0.0,10.89,GFS,20260313_18,21.78
2026-03-26,50.43,14.57,0.0,14.57,GFS,20260313_18,29.14
2026-03-27,49.79,15.21,0.0,15.21,GFS,20260313_18,30.42
2026-03-28,49.95,15.05,0.0,15.05,GFS,20260313_18,30.1
2026-03-29,49.74,15.26,0.0,15.26,GFS,20260313_18,30.52
