date,mean_temp,tdd,model,run_id
2026-02-19,38.33,26.67,GFS,20260219_06
2026-02-20,38.34,26.66,GFS,20260219_06
2026-02-21,38.82,26.18,GFS,20260219_06
2026-02-22,38.63,26.37,GFS,20260219_06
2026-02-23,38.0,27.0,GFS,20260219_06
2026-02-24,38.18,26.82,GFS,20260219_06
2026-02-25,38.22,26.78,GFS,20260219_06
2026-02-26,38.14,26.86,GFS,20260219_06
2026-02-27,37.8,27.2,GFS,20260219_06
2026-02-28,37.72,27.28,GFS,20260219_06
2026-03-01,37.88,27.12,GFS,20260219_06
2026-03-02,38.04,26.96,GFS,20260219_06
2026-03-03,38.02,26.98,GFS,20260219_06
2026-03-04,37.6,27.4,GFS,20260219_06
2026-03-05,37.87,27.13,GFS,20260219_06
2026-03-06,38.27,26.73,GFS,20260219_06
