date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-22,43.16,21.84,43.16,21.84,GFS,20260222_18
2026-02-23,42.44,22.56,42.44,22.56,GFS,20260222_18
2026-02-24,45.49,19.51,45.49,19.51,GFS,20260222_18
2026-02-25,49.0,16.0,49.0,16.0,GFS,20260222_18
2026-02-26,50.05,14.95,50.05,14.95,GFS,20260222_18
2026-02-27,52.13,12.87,52.13,12.87,GFS,20260222_18
2026-02-28,51.98,13.02,51.98,13.02,GFS,20260222_18
2026-03-01,52.08,12.92,52.08,12.92,GFS,20260222_18
2026-03-02,51.69,13.31,51.69,13.31,GFS,20260222_18
2026-03-03,50.72,14.28,50.72,14.28,GFS,20260222_18
2026-03-04,49.03,15.97,49.03,15.97,GFS,20260222_18
2026-03-05,49.37,15.63,49.37,15.63,GFS,20260222_18
2026-03-06,51.74,13.26,51.74,13.26,GFS,20260222_18
