date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-13,52.04,12.96,0.0,12.96,GFS,20260313_00,25.92
2026-03-14,53.0,12.0,0.0,12.0,GFS,20260313_00,24.0
2026-03-15,53.07,11.93,0.0,11.93,GFS,20260313_00,23.86
2026-03-16,49.75,15.25,0.0,15.25,GFS,20260313_00,30.5
2026-03-17,48.12,16.88,0.0,16.88,GFS,20260313_00,33.76
2026-03-18,49.03,15.97,0.0,15.97,GFS,20260313_00,31.94
2026-03-19,54.73,10.27,0.0,10.27,GFS,20260313_00,20.54
2026-03-20,59.43,5.57,0.0,5.57,GFS,20260313_00,11.14
2026-03-21,60.12,4.88,0.0,4.88,GFS,20260313_00,9.76
2026-03-22,61.6,3.4,0.0,3.4,GFS,20260313_00,6.8
2026-03-23,58.53,6.47,0.0,6.47,GFS,20260313_00,12.94
2026-03-24,56.15,8.85,0.0,8.85,GFS,20260313_00,17.7
2026-03-25,56.51,8.49,0.0,8.49,GFS,20260313_00,16.98
2026-03-26,51.98,13.02,0.0,13.02,GFS,20260313_00,26.04
2026-03-27,52.03,12.97,0.0,12.97,GFS,20260313_00,25.94
2026-03-28,53.86,11.14,0.0,11.14,GFS,20260313_00,22.28
2026-03-29,55.48,9.52,0.0,9.52,GFS,20260313_00,19.04
