date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-07,49.61,15.39,0.0,15.39,GFS,20260307_06,30.78
2026-03-08,51.34,13.66,0.0,13.66,GFS,20260307_06,27.32
2026-03-09,52.54,12.46,0.0,12.46,GFS,20260307_06,24.92
2026-03-10,51.69,13.31,0.0,13.31,GFS,20260307_06,26.62
2026-03-11,49.31,15.69,0.0,15.69,GFS,20260307_06,31.38
2026-03-12,47.81,17.19,0.0,17.19,GFS,20260307_06,34.38
2026-03-13,46.02,18.98,0.0,18.98,GFS,20260307_06,37.96
2026-03-14,46.74,18.26,0.0,18.26,GFS,20260307_06,36.52
2026-03-15,45.91,19.09,0.0,19.09,GFS,20260307_06,38.18
2026-03-16,45.26,19.74,0.0,19.74,GFS,20260307_06,39.48
2026-03-17,42.02,22.98,0.0,22.98,GFS,20260307_06,45.96
2026-03-18,40.56,24.44,0.0,24.44,GFS,20260307_06,48.88
2026-03-19,45.22,19.78,0.0,19.78,GFS,20260307_06,39.56
2026-03-20,50.31,14.69,0.0,14.69,GFS,20260307_06,29.38
2026-03-21,51.39,13.61,0.0,13.61,GFS,20260307_06,27.22
2026-03-22,49.61,15.39,0.0,15.39,GFS,20260307_06,30.78
2026-03-23,51.68,13.32,0.0,13.32,GFS,20260307_06,26.64
