date,mean_temp,hdd,cdd,tdd,model,run_id
2026-03-01,51.61,13.39,0.0,13.39,GFS,20260301_00
2026-03-02,49.4,15.6,0.0,15.6,GFS,20260301_00
2026-03-03,50.98,14.02,0.0,14.02,GFS,20260301_00
2026-03-04,53.92,11.08,0.0,11.08,GFS,20260301_00
2026-03-05,55.41,9.59,0.0,9.59,GFS,20260301_00
2026-03-06,53.56,11.44,0.0,11.44,GFS,20260301_00
2026-03-07,54.4,10.6,0.0,10.6,GFS,20260301_00
2026-03-08,55.42,9.58,0.0,9.58,GFS,20260301_00
2026-03-09,57.48,7.52,0.0,7.52,GFS,20260301_00
2026-03-10,57.94,7.06,0.0,7.06,GFS,20260301_00
