date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-11,54.79,10.21,0.0,10.21,GFS,20260311_00,20.42
2026-03-12,53.78,11.22,0.0,11.22,GFS,20260311_00,22.44
2026-03-13,51.79,13.21,0.0,13.21,GFS,20260311_00,26.42
2026-03-14,52.68,12.32,0.0,12.32,GFS,20260311_00,24.64
2026-03-15,52.77,12.23,0.0,12.23,GFS,20260311_00,24.46
2026-03-16,51.73,13.27,0.0,13.27,GFS,20260311_00,26.54
2026-03-17,50.46,14.54,0.0,14.54,GFS,20260311_00,29.08
2026-03-18,51.71,13.29,0.0,13.29,GFS,20260311_00,26.58
2026-03-19,55.88,9.12,0.0,9.12,GFS,20260311_00,18.24
2026-03-20,58.31,6.69,0.0,6.69,GFS,20260311_00,13.38
2026-03-21,58.2,6.8,0.0,6.8,GFS,20260311_00,13.6
2026-03-22,58.63,6.37,0.0,6.37,GFS,20260311_00,12.74
2026-03-23,55.77,9.23,0.0,9.23,GFS,20260311_00,18.46
2026-03-24,55.81,9.19,0.0,9.19,GFS,20260311_00,18.38
2026-03-25,55.64,9.36,0.0,9.36,GFS,20260311_00,18.72
2026-03-26,55.53,9.47,0.0,9.47,GFS,20260311_00,18.94
2026-03-27,56.23,8.77,0.0,8.77,GFS,20260311_00,17.54
