date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-08,57.97,7.03,0.0,7.03,GFS,20260308_18,14.06
2026-03-09,58.62,6.38,0.0,6.38,GFS,20260308_18,12.76
2026-03-10,56.5,8.5,0.0,8.5,GFS,20260308_18,17.0
2026-03-11,53.81,11.19,0.0,11.19,GFS,20260308_18,22.38
2026-03-12,53.3,11.7,0.0,11.7,GFS,20260308_18,23.4
2026-03-13,54.64,10.36,0.0,10.36,GFS,20260308_18,20.72
2026-03-14,56.15,8.85,0.0,8.85,GFS,20260308_18,17.7
2026-03-15,54.06,10.94,0.0,10.94,GFS,20260308_18,21.88
2026-03-16,50.43,14.57,0.0,14.57,GFS,20260308_18,29.14
2026-03-17,48.97,16.03,0.0,16.03,GFS,20260308_18,32.06
2026-03-18,51.13,13.87,0.0,13.87,GFS,20260308_18,27.74
2026-03-19,50.74,14.26,0.0,14.26,GFS,20260308_18,28.52
2026-03-20,50.37,14.63,0.0,14.63,GFS,20260308_18,29.26
2026-03-21,51.36,13.64,0.0,13.64,GFS,20260308_18,27.28
2026-03-22,52.0,13.0,0.0,13.0,GFS,20260308_18,26.0
2026-03-23,52.82,12.18,0.0,12.18,GFS,20260308_18,24.36
2026-03-24,54.12,10.88,0.0,10.88,GFS,20260308_18,21.76
