date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-09,50.3,14.7,0.0,14.7,GFS,20260309_12,29.4
2026-03-10,49.1,15.9,0.0,15.9,GFS,20260309_12,31.8
2026-03-11,47.83,17.17,0.0,17.17,GFS,20260309_12,34.34
2026-03-12,45.7,19.3,0.0,19.3,GFS,20260309_12,38.6
2026-03-13,43.28,21.72,0.0,21.72,GFS,20260309_12,43.44
2026-03-14,45.32,19.68,0.0,19.68,GFS,20260309_12,39.36
2026-03-15,44.58,20.42,0.0,20.42,GFS,20260309_12,40.84
2026-03-16,41.52,23.48,0.0,23.48,GFS,20260309_12,46.96
2026-03-17,38.1,26.9,0.0,26.9,GFS,20260309_12,53.8
2026-03-18,40.51,24.49,0.0,24.49,GFS,20260309_12,48.98
2026-03-19,45.99,19.01,0.0,19.01,GFS,20260309_12,38.02
2026-03-20,49.23,15.77,0.0,15.77,GFS,20260309_12,31.54
2026-03-21,49.42,15.58,0.0,15.58,GFS,20260309_12,31.16
2026-03-22,49.87,15.13,0.0,15.13,GFS,20260309_12,30.26
2026-03-23,49.59,15.41,0.0,15.41,GFS,20260309_12,30.82
2026-03-24,47.46,17.54,0.0,17.54,GFS,20260309_12,35.08
2026-03-25,48.67,16.33,0.0,16.33,GFS,20260309_12,32.66
