date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-12,45.46,19.54,0.0,19.54,GFS,20260312_12,39.08
2026-03-13,42.93,22.07,0.0,22.07,GFS,20260312_12,44.14
2026-03-14,44.69,20.31,0.0,20.31,GFS,20260312_12,40.62
2026-03-15,43.93,21.07,0.0,21.07,GFS,20260312_12,42.14
2026-03-16,41.87,23.13,0.0,23.13,GFS,20260312_12,46.26
2026-03-17,39.75,25.25,0.0,25.25,GFS,20260312_12,50.5
2026-03-18,43.6,21.4,0.0,21.4,GFS,20260312_12,42.8
2026-03-19,48.38,16.62,0.0,16.62,GFS,20260312_12,33.24
2026-03-20,49.9,15.1,0.0,15.1,GFS,20260312_12,30.2
2026-03-21,47.69,17.31,0.0,17.31,GFS,20260312_12,34.62
2026-03-22,47.62,17.38,0.0,17.38,GFS,20260312_12,34.76
2026-03-23,48.76,16.24,0.0,16.24,GFS,20260312_12,32.48
2026-03-24,48.21,16.79,0.0,16.79,GFS,20260312_12,33.58
2026-03-25,45.59,19.41,0.0,19.41,GFS,20260312_12,38.82
2026-03-26,45.98,19.02,0.0,19.02,GFS,20260312_12,38.04
2026-03-27,48.7,16.3,0.0,16.3,GFS,20260312_12,32.6
2026-03-28,47.86,17.14,0.0,17.14,GFS,20260312_12,34.28
