date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-10,51.28,13.72,0.0,13.72,GFS,20260310_06,27.44
2026-03-11,49.68,15.32,0.0,15.32,GFS,20260310_06,30.64
2026-03-12,48.53,16.47,0.0,16.47,GFS,20260310_06,32.94
2026-03-13,45.45,19.55,0.0,19.55,GFS,20260310_06,39.1
2026-03-14,47.42,17.58,0.0,17.58,GFS,20260310_06,35.16
2026-03-15,46.49,18.51,0.0,18.51,GFS,20260310_06,37.02
2026-03-16,44.13,20.87,0.0,20.87,GFS,20260310_06,41.74
2026-03-17,40.65,24.35,0.0,24.35,GFS,20260310_06,48.7
2026-03-18,42.67,22.33,0.0,22.33,GFS,20260310_06,44.66
2026-03-19,47.93,17.07,0.0,17.07,GFS,20260310_06,34.14
2026-03-20,52.16,12.84,0.0,12.84,GFS,20260310_06,25.68
2026-03-21,51.09,13.91,0.0,13.91,GFS,20260310_06,27.82
2026-03-22,48.25,16.75,0.0,16.75,GFS,20260310_06,33.5
2026-03-23,49.7,15.3,0.0,15.3,GFS,20260310_06,30.6
2026-03-24,50.78,14.22,0.0,14.22,GFS,20260310_06,28.44
2026-03-25,46.73,18.27,0.0,18.27,GFS,20260310_06,36.54
2026-03-26,46.17,18.83,0.0,18.83,GFS,20260310_06,37.66
