date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-03-29,48.43,16.57,0.0,16.57,39.79,25.21,0.0,25.21,GFS,20260329_06,50.42
2026-03-30,53.58,11.42,0.0,11.42,49.86,15.14,0.0,15.14,GFS,20260329_06,30.28
2026-03-31,53.93,11.07,0.0,11.07,55.31,9.69,0.0,9.69,GFS,20260329_06,19.38
2026-04-01,52.61,12.39,0.0,12.39,54.55,10.45,0.0,10.45,GFS,20260329_06,20.9
2026-04-02,50.53,14.47,0.0,14.47,48.76,16.24,0.0,16.24,GFS,20260329_06,32.48
2026-04-03,50.49,14.51,0.0,14.51,46.25,18.75,0.0,18.75,GFS,20260329_06,37.5
2026-04-04,50.53,14.47,0.0,14.47,47.82,17.18,0.0,17.18,GFS,20260329_06,34.36
2026-04-05,50.63,14.37,0.0,14.37,46.5,18.5,0.0,18.5,GFS,20260329_06,37.0
2026-04-06,50.1,14.9,0.0,14.9,45.41,19.59,0.0,19.59,GFS,20260329_06,39.18
2026-04-07,48.71,16.29,0.0,16.29,40.13,24.87,0.0,24.87,GFS,20260329_06,49.74
2026-04-08,48.42,16.58,0.0,16.58,42.21,22.79,0.0,22.79,GFS,20260329_06,45.58
2026-04-09,48.87,16.13,0.0,16.13,37.77,27.23,0.0,27.23,GFS,20260329_06,54.46
2026-04-10,49.69,15.31,0.0,15.31,39.56,25.44,0.0,25.44,GFS,20260329_06,50.88
2026-04-11,50.3,14.7,0.0,14.7,47.32,17.68,0.0,17.68,GFS,20260329_06,35.36
2026-04-12,50.57,14.43,0.0,14.43,50.73,14.27,0.0,14.27,GFS,20260329_06,28.54
2026-04-13,51.32,13.68,0.0,13.68,54.2,10.8,0.0,10.8,GFS,20260329_06,21.6
2026-04-14,49.69,15.31,0.0,15.31,48.19,16.81,0.0,16.81,GFS,20260329_06,33.62
