date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-03,46.41,18.59,0.0,18.59,GFS,20260303_06,37.18
2026-03-04,49.72,15.28,0.0,15.28,GFS,20260303_06,30.56
2026-03-05,49.39,15.61,0.0,15.61,GFS,20260303_06,31.22
2026-03-06,49.04,15.96,0.0,15.96,GFS,20260303_06,31.92
2026-03-07,49.49,15.51,0.0,15.51,GFS,20260303_06,31.02
2026-03-08,50.8,14.2,0.0,14.2,GFS,20260303_06,28.4
2026-03-09,53.01,11.99,0.0,11.99,GFS,20260303_06,23.98
2026-03-10,53.49,11.51,0.0,11.51,GFS,20260303_06,23.02
2026-03-11,49.65,15.35,0.0,15.35,GFS,20260303_06,30.7
2026-03-12,49.65,15.35,0.0,15.35,GFS,20260303_06,30.7
2026-03-13,49.82,15.18,0.0,15.18,GFS,20260303_06,30.36
2026-03-14,47.15,17.85,0.0,17.85,GFS,20260303_06,35.7
2026-03-15,43.29,21.71,0.0,21.71,GFS,20260303_06,43.42
2026-03-16,45.27,19.73,0.0,19.73,GFS,20260303_06,39.46
2026-03-17,47.91,17.09,0.0,17.09,GFS,20260303_06,34.18
2026-03-18,48.96,16.04,0.0,16.04,GFS,20260303_06,32.08
2026-03-19,50.63,14.37,0.0,14.37,GFS,20260303_06,28.74
