date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-04,47.69,17.31,0.0,17.31,GFS,20260304_12,34.62
2026-03-05,46.28,18.72,0.0,18.72,GFS,20260304_12,37.44
2026-03-06,47.44,17.56,0.0,17.56,GFS,20260304_12,35.12
2026-03-07,47.96,17.04,0.0,17.04,GFS,20260304_12,34.08
2026-03-08,47.55,17.45,0.0,17.45,GFS,20260304_12,34.9
2026-03-09,49.69,15.31,0.0,15.31,GFS,20260304_12,30.62
2026-03-10,48.11,16.89,0.0,16.89,GFS,20260304_12,33.78
2026-03-11,46.72,18.28,0.0,18.28,GFS,20260304_12,36.56
2026-03-12,47.01,17.99,0.0,17.99,GFS,20260304_12,35.98
2026-03-13,45.55,19.45,0.0,19.45,GFS,20260304_12,38.9
2026-03-14,46.03,18.97,0.0,18.97,GFS,20260304_12,37.94
2026-03-15,44.02,20.98,0.0,20.98,GFS,20260304_12,41.96
2026-03-16,42.35,22.65,0.0,22.65,GFS,20260304_12,45.3
2026-03-17,43.75,21.25,0.0,21.25,GFS,20260304_12,42.5
2026-03-18,44.56,20.44,0.0,20.44,GFS,20260304_12,40.88
2026-03-19,45.29,19.71,0.0,19.71,GFS,20260304_12,39.42
2026-03-20,47.2,17.8,0.0,17.8,GFS,20260304_12,35.6
