date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-25,50.77,14.23,50.77,14.23,GFS,20260225_18
2026-02-26,52.46,12.54,52.46,12.54,GFS,20260225_18
2026-02-27,54.83,10.17,54.83,10.17,GFS,20260225_18
2026-02-28,52.21,12.79,52.21,12.79,GFS,20260225_18
2026-03-01,48.63,16.37,48.63,16.37,GFS,20260225_18
2026-03-02,47.52,17.48,47.52,17.48,GFS,20260225_18
2026-03-03,49.8,15.2,49.8,15.2,GFS,20260225_18
2026-03-04,52.75,12.25,52.75,12.25,GFS,20260225_18
2026-03-05,51.95,13.05,51.95,13.05,GFS,20260225_18
2026-03-06,51.78,13.22,51.78,13.22,GFS,20260225_18
2026-03-07,52.82,12.18,52.82,12.18,GFS,20260225_18
2026-03-08,53.86,11.14,53.86,11.14,GFS,20260225_18
2026-03-09,55.33,9.67,55.33,9.67,GFS,20260225_18
2026-03-10,56.91,8.09,56.91,8.09,GFS,20260225_18
2026-03-11,55.72,9.28,55.72,9.28,GFS,20260225_18
2026-03-12,53.21,11.79,53.21,11.79,GFS,20260225_18
2026-03-13,51.72,13.28,51.72,13.28,GFS,20260225_18
