date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-04,54.52,10.48,0.0,10.48,GFS,20260304_00,20.96
2026-03-05,54.52,10.48,0.0,10.48,GFS,20260304_00,20.96
2026-03-06,53.62,11.38,0.0,11.38,GFS,20260304_00,22.76
2026-03-07,53.87,11.13,0.0,11.13,GFS,20260304_00,22.26
2026-03-08,53.93,11.07,0.0,11.07,GFS,20260304_00,22.14
2026-03-09,55.57,9.43,0.0,9.43,GFS,20260304_00,18.86
2026-03-10,56.28,8.72,0.0,8.72,GFS,20260304_00,17.44
2026-03-11,52.44,12.56,0.0,12.56,GFS,20260304_00,25.12
2026-03-12,50.73,14.27,0.0,14.27,GFS,20260304_00,28.54
2026-03-13,50.63,14.37,0.0,14.37,GFS,20260304_00,28.74
2026-03-14,48.82,16.18,0.0,16.18,GFS,20260304_00,32.36
2026-03-15,49.08,15.92,0.0,15.92,GFS,20260304_00,31.84
2026-03-16,49.34,15.66,0.0,15.66,GFS,20260304_00,31.32
2026-03-17,48.9,16.1,0.0,16.1,GFS,20260304_00,32.2
2026-03-18,52.04,12.96,0.0,12.96,GFS,20260304_00,25.92
2026-03-19,53.92,11.08,0.0,11.08,GFS,20260304_00,22.16
2026-03-20,57.91,7.09,0.0,7.09,GFS,20260304_00,14.18
