date,mean_temp,tdd,model,run_id
2026-02-20,38.43,26.57,GFS,20260220_06
2026-02-21,38.67,26.33,GFS,20260220_06
2026-02-22,38.46,26.54,GFS,20260220_06
2026-02-23,38.02,26.98,GFS,20260220_06
2026-02-24,38.03,26.97,GFS,20260220_06
2026-02-25,37.92,27.08,GFS,20260220_06
2026-02-26,38.05,26.95,GFS,20260220_06
2026-02-27,38.14,26.86,GFS,20260220_06
2026-02-28,38.29,26.71,GFS,20260220_06
2026-03-01,38.76,26.24,GFS,20260220_06
2026-03-02,39.26,25.74,GFS,20260220_06
2026-03-03,39.29,25.71,GFS,20260220_06
2026-03-04,39.23,25.77,GFS,20260220_06
2026-03-05,39.26,25.74,GFS,20260220_06
2026-03-06,39.08,25.92,GFS,20260220_06
2026-03-07,38.75,26.25,GFS,20260220_06
