date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-23,42.81,22.19,42.81,22.19,GFS,20260223_00
2026-02-24,42.82,22.18,42.82,22.18,GFS,20260223_00
2026-02-25,45.5,19.5,45.5,19.5,GFS,20260223_00
2026-02-26,49.59,15.41,49.59,15.41,GFS,20260223_00
2026-02-27,50.93,14.07,50.93,14.07,GFS,20260223_00
2026-02-28,51.71,13.29,51.71,13.29,GFS,20260223_00
2026-03-01,50.24,14.76,50.24,14.76,GFS,20260223_00
2026-03-02,48.55,16.45,48.55,16.45,GFS,20260223_00
2026-03-03,48.52,16.48,48.52,16.48,GFS,20260223_00
2026-03-04,50.01,14.99,50.01,14.99,GFS,20260223_00
2026-03-05,49.53,15.47,49.53,15.47,GFS,20260223_00
2026-03-06,51.81,13.19,51.81,13.19,GFS,20260223_00
2026-03-07,50.78,14.22,50.78,14.22,GFS,20260223_00
2026-03-08,51.06,13.94,51.06,13.94,GFS,20260223_00
2026-03-09,52.13,12.87,52.13,12.87,GFS,20260223_00
2026-03-10,50.37,14.63,50.37,14.63,GFS,20260223_00
