date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-12,53.63,11.37,0.0,11.37,GFS,20260312_00,22.74
2026-03-13,51.78,13.22,0.0,13.22,GFS,20260312_00,26.44
2026-03-14,52.93,12.07,0.0,12.07,GFS,20260312_00,24.14
2026-03-15,52.84,12.16,0.0,12.16,GFS,20260312_00,24.32
2026-03-16,49.99,15.01,0.0,15.01,GFS,20260312_00,30.02
2026-03-17,48.11,16.89,0.0,16.89,GFS,20260312_00,33.78
2026-03-18,48.75,16.25,0.0,16.25,GFS,20260312_00,32.5
2026-03-19,52.8,12.2,0.0,12.2,GFS,20260312_00,24.4
2026-03-20,57.81,7.19,0.0,7.19,GFS,20260312_00,14.38
2026-03-21,60.11,4.89,0.0,4.89,GFS,20260312_00,9.78
2026-03-22,58.64,6.36,0.0,6.36,GFS,20260312_00,12.72
2026-03-23,56.73,8.27,0.0,8.27,GFS,20260312_00,16.54
2026-03-24,53.6,11.4,0.0,11.4,GFS,20260312_00,22.8
2026-03-25,52.37,12.63,0.0,12.63,GFS,20260312_00,25.26
2026-03-26,51.81,13.19,0.0,13.19,GFS,20260312_00,26.38
2026-03-27,53.17,11.83,0.0,11.83,GFS,20260312_00,23.66
2026-03-28,56.22,8.78,0.0,8.78,GFS,20260312_00,17.56
