date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-04-18,52.44,12.56,0.0,12.56,52.86,12.14,0.0,12.14,GFS,20260418_06,24.28
2026-04-19,51.31,13.69,0.0,13.69,45.52,19.48,0.0,19.48,GFS,20260418_06,38.96
2026-04-20,50.64,14.36,0.0,14.36,41.41,23.59,0.0,23.59,GFS,20260418_06,47.18
2026-04-21,53.2,11.8,0.0,11.8,43.99,21.01,0.0,21.01,GFS,20260418_06,42.02
2026-04-22,54.97,10.03,0.0,10.03,51.06,13.94,0.0,13.94,GFS,20260418_06,27.88
2026-04-23,54.73,10.27,0.0,10.27,50.61,14.39,0.0,14.39,GFS,20260418_06,28.78
2026-04-24,53.55,11.45,0.0,11.45,53.57,11.43,0.0,11.43,GFS,20260418_06,22.86
2026-04-25,52.72,12.28,0.0,12.28,49.02,15.98,0.0,15.98,GFS,20260418_06,31.96
2026-04-26,53.08,11.92,0.0,11.92,48.33,16.67,0.0,16.67,GFS,20260418_06,33.34
2026-04-27,53.37,11.63,0.0,11.63,48.57,16.43,0.0,16.43,GFS,20260418_06,32.86
2026-04-28,54.23,10.77,0.0,10.77,50.44,14.56,0.0,14.56,GFS,20260418_06,29.12
2026-04-29,54.71,10.29,0.0,10.29,52.3,12.7,0.0,12.7,GFS,20260418_06,25.4
2026-04-30,55.14,9.86,0.0,9.86,51.52,13.48,0.0,13.48,GFS,20260418_06,26.96
2026-05-01,54.7,10.3,0.0,10.3,48.96,16.04,0.0,16.04,GFS,20260418_06,32.08
2026-05-02,54.48,10.52,0.0,10.52,48.4,16.6,0.0,16.6,GFS,20260418_06,33.2
2026-05-03,55.11,9.89,0.0,9.89,47.83,17.17,0.0,17.17,GFS,20260418_06,34.34
2026-05-04,55.19,9.81,0.0,9.81,47.69,17.31,0.0,17.31,GFS,20260418_06,34.62
