date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-22,38.35,26.65,38.35,26.65,GFS,20260222_06
2026-02-23,36.86,28.14,36.86,28.14,GFS,20260222_06
2026-02-24,38.25,26.75,38.25,26.75,GFS,20260222_06
2026-02-25,41.9,23.1,41.9,23.1,GFS,20260222_06
2026-02-26,44.15,20.85,44.15,20.85,GFS,20260222_06
2026-02-27,44.56,20.44,44.56,20.44,GFS,20260222_06
2026-02-28,45.62,19.38,45.62,19.38,GFS,20260222_06
2026-03-01,45.85,19.15,45.85,19.15,GFS,20260222_06
2026-03-02,43.34,21.66,43.34,21.66,GFS,20260222_06
2026-03-03,44.55,20.45,44.55,20.45,GFS,20260222_06
2026-03-04,48.16,16.84,48.16,16.84,GFS,20260222_06
2026-03-05,49.16,15.84,49.16,15.84,GFS,20260222_06
2026-03-06,51.59,13.41,51.59,13.41,GFS,20260222_06
2026-03-07,51.91,13.09,51.91,13.09,GFS,20260222_06
2026-03-08,50.62,14.38,50.62,14.38,GFS,20260222_06
2026-03-09,47.67,17.33,47.67,17.33,GFS,20260222_06
