date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-09,57.85,7.15,0.0,7.15,GFS,20260309_00,14.3
2026-03-10,57.43,7.57,0.0,7.57,GFS,20260309_00,15.14
2026-03-11,55.27,9.73,0.0,9.73,GFS,20260309_00,19.46
2026-03-12,54.08,10.92,0.0,10.92,GFS,20260309_00,21.84
2026-03-13,52.45,12.55,0.0,12.55,GFS,20260309_00,25.1
2026-03-14,54.1,10.9,0.0,10.9,GFS,20260309_00,21.8
2026-03-15,54.59,10.41,0.0,10.41,GFS,20260309_00,20.82
2026-03-16,52.41,12.59,0.0,12.59,GFS,20260309_00,25.18
2026-03-17,49.07,15.93,0.0,15.93,GFS,20260309_00,31.86
2026-03-18,49.71,15.29,0.0,15.29,GFS,20260309_00,30.58
2026-03-19,53.46,11.54,0.0,11.54,GFS,20260309_00,23.08
2026-03-20,57.07,7.93,0.0,7.93,GFS,20260309_00,15.86
2026-03-21,57.32,7.68,0.0,7.68,GFS,20260309_00,15.36
2026-03-22,55.01,9.99,0.0,9.99,GFS,20260309_00,19.98
2026-03-23,53.68,11.32,0.0,11.32,GFS,20260309_00,22.64
2026-03-24,55.17,9.83,0.0,9.83,GFS,20260309_00,19.66
2026-03-25,55.73,9.27,0.0,9.27,GFS,20260309_00,18.54
