date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-12,52.72,12.28,0.0,12.28,GFS,20260312_18,24.56
2026-03-13,52.45,12.55,0.0,12.55,GFS,20260312_18,25.1
2026-03-14,54.28,10.72,0.0,10.72,GFS,20260312_18,21.44
2026-03-15,50.78,14.22,0.0,14.22,GFS,20260312_18,28.44
2026-03-16,47.7,17.3,0.0,17.3,GFS,20260312_18,34.6
2026-03-17,48.24,16.76,0.0,16.76,GFS,20260312_18,33.52
2026-03-18,53.94,11.06,0.0,11.06,GFS,20260312_18,22.12
2026-03-19,58.82,6.18,0.0,6.18,GFS,20260312_18,12.36
2026-03-20,58.63,6.37,0.0,6.37,GFS,20260312_18,12.74
2026-03-21,58.71,6.29,0.0,6.29,GFS,20260312_18,12.58
2026-03-22,60.39,4.61,0.0,4.61,GFS,20260312_18,9.22
2026-03-23,59.15,5.85,0.0,5.85,GFS,20260312_18,11.7
2026-03-24,58.8,6.2,0.0,6.2,GFS,20260312_18,12.4
2026-03-25,60.52,4.48,0.0,4.48,GFS,20260312_18,8.96
2026-03-26,59.22,5.78,0.0,5.78,GFS,20260312_18,11.56
2026-03-27,56.77,8.23,0.0,8.23,GFS,20260312_18,16.46
2026-03-28,56.71,8.29,0.0,8.29,GFS,20260312_18,16.58
