date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-21,,,,,GFS,20260221_06
2026-02-22,,,,,GFS,20260221_06
2026-02-23,,,,,GFS,20260221_06
2026-02-24,,,,,GFS,20260221_06
2026-02-25,,,,,GFS,20260221_06
2026-02-26,,,,,GFS,20260221_06
2026-02-27,,,,,GFS,20260221_06
2026-02-28,,,,,GFS,20260221_06
2026-03-01,,,,,GFS,20260221_06
2026-03-02,,,,,GFS,20260221_06
2026-03-03,,,,,GFS,20260221_06
2026-03-04,,,,,GFS,20260221_06
2026-03-05,,,,,GFS,20260221_06
2026-03-06,,,,,GFS,20260221_06
2026-03-07,,,,,GFS,20260221_06
2026-03-08,,,,,GFS,20260221_06
