date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-05-27,69.51,0.0,4.51,4.51,69.51,0.0,4.51,4.51,HGEFS,20260526_00
2026-05-28,67.48,0.0,2.48,2.48,67.48,0.0,2.48,2.48,HGEFS,20260526_00
2026-05-29,64.55,0.45,0.0,0.45,64.55,0.45,0.0,0.45,HGEFS,20260526_00
2026-05-30,64.52,0.48,0.0,0.48,64.52,0.48,0.0,0.48,HGEFS,20260526_00
2026-05-31,61.81,3.19,0.0,3.19,61.81,3.19,0.0,3.19,HGEFS,20260526_00
2026-06-01,62.92,2.08,0.0,2.08,62.92,2.08,0.0,2.08,HGEFS,20260526_00
2026-06-02,64.94,0.06,0.0,0.06,64.94,0.06,0.0,0.06,HGEFS,20260526_00
2026-06-03,67.85,0.0,2.85,2.85,67.85,0.0,2.85,2.85,HGEFS,20260526_00
2026-06-04,70.38,0.0,5.38,5.38,70.38,0.0,5.38,5.38,HGEFS,20260526_00
