date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-06-10,74.42,0,9.42,9.42,74.42,0,9.42,9.42,HGEFS,20260609_12
2026-06-11,76.53,0,11.53,11.53,76.53,0,11.53,11.53,HGEFS,20260609_12
2026-06-12,75.74,0,10.74,10.74,75.74,0,10.74,10.74,HGEFS,20260609_12
2026-06-13,73.42,0,8.42,8.42,73.42,0,8.42,8.42,HGEFS,20260609_12
2026-06-14,72.33,0,7.33,7.33,72.33,0,7.33,7.33,HGEFS,20260609_12
2026-06-15,69.13,0,4.13,4.13,69.13,0,4.13,4.13,HGEFS,20260609_12
2026-06-16,67.48,0,2.48,2.48,67.48,0,2.48,2.48,HGEFS,20260609_12
2026-06-17,67.42,0,2.42,2.42,67.42,0,2.42,2.42,HGEFS,20260609_12
2026-06-18,69.26,0,4.26,4.26,69.26,0,4.26,4.26,HGEFS,20260609_12
