date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-07-18,77.7,0,12.7,12.7,77.7,0,12.7,12.7,HGEFS,20260717_00
2026-07-19,76.05,0,11.05,11.05,76.05,0,11.05,11.05,HGEFS,20260717_00
2026-07-20,74.98,0,9.98,9.98,74.98,0,9.98,9.98,HGEFS,20260717_00
2026-07-21,77.42,0,12.42,12.42,77.42,0,12.42,12.42,HGEFS,20260717_00
2026-07-22,74.74,0,9.74,9.74,74.74,0,9.74,9.74,HGEFS,20260717_00
2026-07-23,72.36,0,7.36,7.36,72.36,0,7.36,7.36,HGEFS,20260717_00
2026-07-24,73.08,0,8.08,8.08,73.08,0,8.08,8.08,HGEFS,20260717_00
2026-07-25,73.5,0,8.5,8.5,73.5,0,8.5,8.5,HGEFS,20260717_00
2026-07-26,73.28,0,8.28,8.28,73.28,0,8.28,8.28,HGEFS,20260717_00
