date,model,run_id,mean_temp,tdd,tdd_gw
2026-03-18,GEFS_35D,20260302_00,35.45,29.55,29.55
2026-03-19,GEFS_35D,20260302_00,36.2,28.8,28.8
2026-03-20,GEFS_35D,20260302_00,36.52,28.48,28.48
2026-03-21,GEFS_35D,20260302_00,38.83,26.18,26.18
2026-03-22,GEFS_35D,20260302_00,39.72,25.28,25.28
2026-03-23,GEFS_35D,20260302_00,40.95,24.05,24.05
2026-03-24,GEFS_35D,20260302_00,41.91,23.09,23.09
2026-03-25,GEFS_35D,20260302_00,42.72,22.28,22.28
2026-03-26,GEFS_35D,20260302_00,42.74,22.26,22.26
2026-03-27,GEFS_35D,20260302_00,42.84,22.16,22.16
2026-03-28,GEFS_35D,20260302_00,43.62,21.38,21.38
2026-03-29,GEFS_35D,20260302_00,44.08,20.92,20.92
2026-03-30,GEFS_35D,20260302_00,45.25,19.75,19.75
2026-03-31,GEFS_35D,20260302_00,45.8,19.2,19.2
2026-04-01,GEFS_35D,20260302_00,46.54,18.46,18.46
2026-04-02,GEFS_35D,20260302_00,47.84,17.16,17.16
2026-04-03,GEFS_35D,20260302_00,46.0,18.99,18.99
2026-04-04,GEFS_35D,20260302_00,44.96,20.04,20.04
2026-04-05,GEFS_35D,20260302_00,44.78,20.23,20.23
2026-04-06,GEFS_35D,20260302_00,48.13,16.87,16.87
