date,model,run_id,mean_temp,tdd,tdd_gw
2026-03-16,GEFS_35D,20260228_00,38.98,26.02,26.02
2026-03-17,GEFS_35D,20260228_00,41.81,23.19,23.19
2026-03-18,GEFS_35D,20260228_00,40.22,24.78,24.78
2026-03-19,GEFS_35D,20260228_00,40.01,25.0,25.0
2026-03-20,GEFS_35D,20260228_00,40.79,24.21,24.21
2026-03-21,GEFS_35D,20260228_00,41.04,23.96,23.96
2026-03-22,GEFS_35D,20260228_00,40.99,24.01,24.01
2026-03-23,GEFS_35D,20260228_00,40.41,24.59,24.59
2026-03-24,GEFS_35D,20260228_00,42.52,22.48,22.48
2026-03-25,GEFS_35D,20260228_00,44.26,20.74,20.74
2026-03-26,GEFS_35D,20260228_00,45.38,19.62,19.62
2026-03-27,GEFS_35D,20260228_00,45.58,19.42,19.42
2026-03-28,GEFS_35D,20260228_00,45.97,19.03,19.03
2026-03-29,GEFS_35D,20260228_00,46.7,18.3,18.3
2026-03-30,GEFS_35D,20260228_00,47.56,17.44,17.44
2026-03-31,GEFS_35D,20260228_00,46.53,18.47,18.47
2026-04-01,GEFS_35D,20260228_00,45.04,19.96,19.96
2026-04-02,GEFS_35D,20260228_00,44.34,20.66,20.66
2026-04-03,GEFS_35D,20260228_00,45.06,19.94,19.94
2026-04-04,GEFS_35D,20260228_00,48.27,16.73,16.73
