date,model,run_id,mean_temp,tdd,tdd_gw
2026-03-13,GEFS_35D,20260225_00,42.12,22.88,22.88
2026-03-14,GEFS_35D,20260225_00,44.08,20.92,20.92
2026-03-15,GEFS_35D,20260225_00,44.8,20.2,20.2
2026-03-16,GEFS_35D,20260225_00,44.75,20.25,20.25
2026-03-17,GEFS_35D,20260225_00,43.79,21.21,21.21
2026-03-18,GEFS_35D,20260225_00,42.95,22.05,22.05
2026-03-19,GEFS_35D,20260225_00,43.13,21.87,21.87
2026-03-20,GEFS_35D,20260225_00,45.06,19.94,19.94
2026-03-21,GEFS_35D,20260225_00,45.41,19.59,19.59
2026-03-22,GEFS_35D,20260225_00,43.63,21.37,21.37
2026-03-23,GEFS_35D,20260225_00,42.84,22.16,22.16
2026-03-24,GEFS_35D,20260225_00,42.36,22.64,22.64
2026-03-25,GEFS_35D,20260225_00,41.69,23.31,23.31
2026-03-26,GEFS_35D,20260225_00,42.45,22.55,22.55
2026-03-27,GEFS_35D,20260225_00,44.16,20.84,20.84
2026-03-28,GEFS_35D,20260225_00,44.68,20.33,20.33
2026-03-29,GEFS_35D,20260225_00,44.92,20.08,20.08
2026-03-30,GEFS_35D,20260225_00,45.0,20.0,20.0
2026-03-31,GEFS_35D,20260225_00,46.32,18.69,18.69
2026-04-01,GEFS_35D,20260225_00,48.96,16.04,16.04
