date,model,run_id,mean_temp,tdd,tdd_gw
20260417,FOURCASTNETV2-SMALL,20260416_12_AI,64.6775,2.9074999999999998,2.9074999999999998
20260418,FOURCASTNETV2-SMALL,20260416_12_AI,59.542500000000004,5.655,5.655
20260419,FOURCASTNETV2-SMALL,20260416_12_AI,51.15,13.85,13.85
20260420,FOURCASTNETV2-SMALL,20260416_12_AI,44.99,20.009999999999998,20.009999999999998
20260421,FOURCASTNETV2-SMALL,20260416_12_AI,50.332499999999996,14.6675,14.6675
20260422,FOURCASTNETV2-SMALL,20260416_12_AI,58.025,6.994999999999999,6.994999999999999
20260423,FOURCASTNETV2-SMALL,20260416_12_AI,56.235,8.765,8.765
20260424,FOURCASTNETV2-SMALL,20260416_12_AI,59.0975,5.965,5.965
20260425,FOURCASTNETV2-SMALL,20260416_12_AI,58.4125,6.5875,6.5875
20260426,FOURCASTNETV2-SMALL,20260416_12_AI,55.3975,9.6025,9.6025
20260427,FOURCASTNETV2-SMALL,20260416_12_AI,53.2025,11.7975,11.7975
20260428,FOURCASTNETV2-SMALL,20260416_12_AI,52.7425,12.2575,12.2575
20260429,FOURCASTNETV2-SMALL,20260416_12_AI,51.6575,13.342500000000001,13.342500000000001
20260430,FOURCASTNETV2-SMALL,20260416_12_AI,52.730000000000004,12.27,12.27
20260501,FOURCASTNETV2-SMALL,20260416_12_AI,51.666666666666664,13.333333333333334,13.333333333333334
