date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260429,FOURCASTNETV2-SMALL,20260428_12_AI,54.8175,10.18,0,10.18,54.82,10.18,0,10.18
20260430,FOURCASTNETV2-SMALL,20260428_12_AI,52.2925,12.71,0,12.71,52.29,12.71,0,12.71
20260501,FOURCASTNETV2-SMALL,20260428_12_AI,50.53,14.47,0,14.47,50.53,14.47,0,14.47
20260502,FOURCASTNETV2-SMALL,20260428_12_AI,49.805,15.2,0,15.2,49.8,15.2,0,15.2
20260503,FOURCASTNETV2-SMALL,20260428_12_AI,52.835,12.16,0,12.16,52.84,12.16,0,12.16
20260504,FOURCASTNETV2-SMALL,20260428_12_AI,57.0125,7.99,0,7.99,57.01,7.99,0,7.99
20260505,FOURCASTNETV2-SMALL,20260428_12_AI,59.585,5.41,0,5.41,59.58,5.41,0,5.41
20260506,FOURCASTNETV2-SMALL,20260428_12_AI,59.7725,5.23,0,5.23,59.77,5.23,0,5.23
20260507,FOURCASTNETV2-SMALL,20260428_12_AI,55.375,9.62,0,9.62,55.38,9.62,0,9.62
20260508,FOURCASTNETV2-SMALL,20260428_12_AI,54.5425,10.46,0,10.46,54.54,10.46,0,10.46
20260509,FOURCASTNETV2-SMALL,20260428_12_AI,55.1575,9.84,0,9.84,55.16,9.84,0,9.84
20260510,FOURCASTNETV2-SMALL,20260428_12_AI,55.175,9.83,0,9.83,55.18,9.83,0,9.83
20260511,FOURCASTNETV2-SMALL,20260428_12_AI,55.3925,9.61,0,9.61,55.39,9.61,0,9.61
20260512,FOURCASTNETV2-SMALL,20260428_12_AI,55.425,9.58,0,9.58,55.42,9.58,0,9.58
20260513,FOURCASTNETV2-SMALL,20260428_12_AI,54.07,10.93,0,10.93,54.07,10.93,0,10.93
