date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260418,FOURCASTNETV2-SMALL,20260417_12_AI,59.1075,5.89,0,5.89,59.11,5.89,0,5.89
20260419,FOURCASTNETV2-SMALL,20260417_12_AI,51.2725,13.73,0,13.73,51.27,13.73,0,13.73
20260420,FOURCASTNETV2-SMALL,20260417_12_AI,45.145,19.85,0,19.85,45.14,19.85,0,19.85
20260421,FOURCASTNETV2-SMALL,20260417_12_AI,49.3625,15.64,0,15.64,49.36,15.64,0,15.64
20260422,FOURCASTNETV2-SMALL,20260417_12_AI,57.7875,7.21,0,7.21,57.79,7.21,0,7.21
20260423,FOURCASTNETV2-SMALL,20260417_12_AI,59.5925,5.41,0,5.41,59.59,5.41,0,5.41
20260424,FOURCASTNETV2-SMALL,20260417_12_AI,60.9975,4.0,0,4.0,61.0,4.0,0,4.0
20260425,FOURCASTNETV2-SMALL,20260417_12_AI,56.2275,8.77,0,8.77,56.23,8.77,0,8.77
20260426,FOURCASTNETV2-SMALL,20260417_12_AI,53.3675,11.63,0,11.63,53.37,11.63,0,11.63
20260427,FOURCASTNETV2-SMALL,20260417_12_AI,53.6925,11.31,0,11.31,53.69,11.31,0,11.31
20260428,FOURCASTNETV2-SMALL,20260417_12_AI,54.18,10.82,0,10.82,54.18,10.82,0,10.82
20260429,FOURCASTNETV2-SMALL,20260417_12_AI,51.47,13.53,0,13.53,51.47,13.53,0,13.53
20260430,FOURCASTNETV2-SMALL,20260417_12_AI,50.79,14.21,0,14.21,50.79,14.21,0,14.21
20260501,FOURCASTNETV2-SMALL,20260417_12_AI,52.1975,12.8,0,12.8,52.2,12.8,0,12.8
20260502,FOURCASTNETV2-SMALL,20260417_12_AI,49.85333333333333,15.15,0,15.15,49.85,15.15,0,15.15
