date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260318,FOURCASTNETV2-SMALL,20260317_12_AI,32.927499999999995,32.07,0,32.07,32.93,32.07,0,32.07
20260319,FOURCASTNETV2-SMALL,20260317_12_AI,40.9475,24.05,0,24.05,40.95,24.05,0,24.05
20260320,FOURCASTNETV2-SMALL,20260317_12_AI,47.61,17.39,0,17.39,47.61,17.39,0,17.39
20260321,FOURCASTNETV2-SMALL,20260317_12_AI,54.1875,10.81,0,10.81,54.19,10.81,0,10.81
20260322,FOURCASTNETV2-SMALL,20260317_12_AI,46.4375,18.56,0,18.56,46.44,18.56,0,18.56
20260323,FOURCASTNETV2-SMALL,20260317_12_AI,39.3775,25.62,0,25.62,39.38,25.62,0,25.62
20260324,FOURCASTNETV2-SMALL,20260317_12_AI,42.615,22.38,0,22.38,42.62,22.38,0,22.38
20260325,FOURCASTNETV2-SMALL,20260317_12_AI,47.955,17.05,0,17.05,47.96,17.05,0,17.05
20260326,FOURCASTNETV2-SMALL,20260317_12_AI,49.3625,15.64,0,15.64,49.36,15.64,0,15.64
20260327,FOURCASTNETV2-SMALL,20260317_12_AI,49.115,15.88,0,15.88,49.12,15.88,0,15.88
20260328,FOURCASTNETV2-SMALL,20260317_12_AI,40.35,24.65,0,24.65,40.35,24.65,0,24.65
20260329,FOURCASTNETV2-SMALL,20260317_12_AI,41.58,23.42,0,23.42,41.58,23.42,0,23.42
20260330,FOURCASTNETV2-SMALL,20260317_12_AI,42.6,22.4,0,22.4,42.6,22.4,0,22.4
20260331,FOURCASTNETV2-SMALL,20260317_12_AI,49.7275,15.27,0,15.27,49.73,15.27,0,15.27
20260401,FOURCASTNETV2-SMALL,20260317_12_AI,53.88,11.12,0,11.12,53.88,11.12,0,11.12
