date,model,run_id,mean_temp,tdd,tdd_gw
20260524,FOURCASTNETV2-SMALL,20260523_12_AI,61.135,4.2125,4.2125
20260525,FOURCASTNETV2-SMALL,20260523_12_AI,63.6225,2.7649999999999997,2.7649999999999997
20260526,FOURCASTNETV2-SMALL,20260523_12_AI,66.235,1.76,1.76
20260527,FOURCASTNETV2-SMALL,20260523_12_AI,68.255,0.6725,0.6725
20260528,FOURCASTNETV2-SMALL,20260523_12_AI,67.6275,1.165,1.165
20260529,FOURCASTNETV2-SMALL,20260523_12_AI,65.4825,2.4825,2.4825
20260530,FOURCASTNETV2-SMALL,20260523_12_AI,64.13,3.1425,3.1425
20260531,FOURCASTNETV2-SMALL,20260523_12_AI,63.44,3.4125,3.4125
20260601,FOURCASTNETV2-SMALL,20260523_12_AI,63.9675,3.71,3.71
20260602,FOURCASTNETV2-SMALL,20260523_12_AI,68.2175,1.9224999999999999,1.9224999999999999
20260603,FOURCASTNETV2-SMALL,20260523_12_AI,70.85,0.63,0.63
20260604,FOURCASTNETV2-SMALL,20260523_12_AI,71.7925,0.11,0.11
20260605,FOURCASTNETV2-SMALL,20260523_12_AI,72.15,0.0,0.0
20260606,FOURCASTNETV2-SMALL,20260523_12_AI,69.1125,0.435,0.435
20260607,FOURCASTNETV2-SMALL,20260523_12_AI,64.91000000000001,2.296666666666667,2.296666666666667
