date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260521,FOURCASTNETV2-SMALL,20260520_12_AI,61.555,3.44,0.0,3.44,61.56,3.44,0.0,3.44
20260522,FOURCASTNETV2-SMALL,20260520_12_AI,59.8025,5.2,0.0,5.2,59.8,5.2,0.0,5.2
20260523,FOURCASTNETV2-SMALL,20260520_12_AI,59.855,5.15,0.0,5.15,59.86,5.15,0.0,5.15
20260524,FOURCASTNETV2-SMALL,20260520_12_AI,60.71,4.29,0.0,4.29,60.71,4.29,0.0,4.29
20260525,FOURCASTNETV2-SMALL,20260520_12_AI,63.1175,1.88,0.0,1.88,63.12,1.88,0.0,1.88
20260526,FOURCASTNETV2-SMALL,20260520_12_AI,65.64500000000001,0.0,0.65,0.65,65.65,0.0,0.65,0.65
20260527,FOURCASTNETV2-SMALL,20260520_12_AI,68.05,0.0,3.05,3.05,68.05,0.0,3.05,3.05
20260528,FOURCASTNETV2-SMALL,20260520_12_AI,69.845,0.0,4.84,4.84,69.84,0.0,4.84,4.84
20260529,FOURCASTNETV2-SMALL,20260520_12_AI,71.815,0.0,6.81,6.81,71.82,0.0,6.81,6.81
20260530,FOURCASTNETV2-SMALL,20260520_12_AI,73.3425,0.0,8.34,8.34,73.34,0.0,8.34,8.34
20260531,FOURCASTNETV2-SMALL,20260520_12_AI,71.66,0.0,6.66,6.66,71.66,0.0,6.66,6.66
20260601,FOURCASTNETV2-SMALL,20260520_12_AI,70.88250000000001,0.0,5.88,5.88,70.88,0.0,5.88,5.88
20260602,FOURCASTNETV2-SMALL,20260520_12_AI,73.06,0.0,8.06,8.06,73.06,0.0,8.06,8.06
20260603,FOURCASTNETV2-SMALL,20260520_12_AI,74.455,0.0,9.45,9.45,74.46,0.0,9.45,9.45
20260604,FOURCASTNETV2-SMALL,20260520_12_AI,72.83333333333333,0.0,7.83,7.83,72.83,0.0,7.83,7.83
