date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260524,FOURCASTNETV2-SMALL,20260523_12_AI,61.135,3.87,0.0,3.87,61.14,3.87,0.0,3.87
20260525,FOURCASTNETV2-SMALL,20260523_12_AI,63.6225,1.38,0.0,1.38,63.62,1.38,0.0,1.38
20260526,FOURCASTNETV2-SMALL,20260523_12_AI,66.235,0.0,1.23,1.23,66.24,0.0,1.23,1.23
20260527,FOURCASTNETV2-SMALL,20260523_12_AI,68.255,0.0,3.25,3.25,68.26,0.0,3.25,3.25
20260528,FOURCASTNETV2-SMALL,20260523_12_AI,67.6275,0.0,2.63,2.63,67.63,0.0,2.63,2.63
20260529,FOURCASTNETV2-SMALL,20260523_12_AI,65.4825,0.0,0.48,0.48,65.48,0.0,0.48,0.48
20260530,FOURCASTNETV2-SMALL,20260523_12_AI,64.13,0.87,0.0,0.87,64.13,0.87,0.0,0.87
20260531,FOURCASTNETV2-SMALL,20260523_12_AI,63.44,1.56,0.0,1.56,63.44,1.56,0.0,1.56
20260601,FOURCASTNETV2-SMALL,20260523_12_AI,63.9675,1.03,0.0,1.03,63.97,1.03,0.0,1.03
20260602,FOURCASTNETV2-SMALL,20260523_12_AI,68.2175,0.0,3.22,3.22,68.22,0.0,3.22,3.22
20260603,FOURCASTNETV2-SMALL,20260523_12_AI,70.85,0.0,5.85,5.85,70.85,0.0,5.85,5.85
20260604,FOURCASTNETV2-SMALL,20260523_12_AI,71.7925,0.0,6.79,6.79,71.79,0.0,6.79,6.79
20260605,FOURCASTNETV2-SMALL,20260523_12_AI,72.15,0.0,7.15,7.15,72.15,0.0,7.15,7.15
20260606,FOURCASTNETV2-SMALL,20260523_12_AI,69.1125,0.0,4.11,4.11,69.11,0.0,4.11,4.11
20260607,FOURCASTNETV2-SMALL,20260523_12_AI,64.91000000000001,0.09,0.0,0.09,64.91,0.09,0.0,0.09
