date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260424,FOURCASTNETV2-SMALL,20260423_12_AI,60.615,4.38,0,4.38,60.62,4.38,0,4.38
20260425,FOURCASTNETV2-SMALL,20260423_12_AI,56.1625,8.84,0,8.84,56.16,8.84,0,8.84
20260426,FOURCASTNETV2-SMALL,20260423_12_AI,52.995000000000005,12.0,0,12.0,53.0,12.0,0,12.0
20260427,FOURCASTNETV2-SMALL,20260423_12_AI,54.6475,10.35,0,10.35,54.65,10.35,0,10.35
20260428,FOURCASTNETV2-SMALL,20260423_12_AI,56.120000000000005,8.88,0,8.88,56.12,8.88,0,8.88
20260429,FOURCASTNETV2-SMALL,20260423_12_AI,54.7,10.3,0,10.3,54.7,10.3,0,10.3
20260430,FOURCASTNETV2-SMALL,20260423_12_AI,54.435,10.56,0,10.56,54.44,10.56,0,10.56
20260501,FOURCASTNETV2-SMALL,20260423_12_AI,53.2625,11.74,0,11.74,53.26,11.74,0,11.74
20260502,FOURCASTNETV2-SMALL,20260423_12_AI,51.865,13.13,0,13.13,51.86,13.13,0,13.13
20260503,FOURCASTNETV2-SMALL,20260423_12_AI,53.205,11.8,0,11.8,53.2,11.8,0,11.8
20260504,FOURCASTNETV2-SMALL,20260423_12_AI,53.92,11.08,0,11.08,53.92,11.08,0,11.08
20260505,FOURCASTNETV2-SMALL,20260423_12_AI,52.6625,12.34,0,12.34,52.66,12.34,0,12.34
20260506,FOURCASTNETV2-SMALL,20260423_12_AI,51.5575,13.44,0,13.44,51.56,13.44,0,13.44
20260507,FOURCASTNETV2-SMALL,20260423_12_AI,51.7175,13.28,0,13.28,51.72,13.28,0,13.28
20260508,FOURCASTNETV2-SMALL,20260423_12_AI,49.68333333333334,15.32,0,15.32,49.68,15.32,0,15.32
