date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260422,FOURCASTNETV2-SMALL,20260421_12_AI,57.1675,7.83,0,7.83,57.17,7.83,0,7.83
20260423,FOURCASTNETV2-SMALL,20260421_12_AI,59.447500000000005,5.55,0,5.55,59.45,5.55,0,5.55
20260424,FOURCASTNETV2-SMALL,20260421_12_AI,60.175,4.83,0,4.83,60.18,4.83,0,4.83
20260425,FOURCASTNETV2-SMALL,20260421_12_AI,55.935,9.06,0,9.06,55.94,9.06,0,9.06
20260426,FOURCASTNETV2-SMALL,20260421_12_AI,53.8625,11.14,0,11.14,53.86,11.14,0,11.14
20260427,FOURCASTNETV2-SMALL,20260421_12_AI,55.675,9.33,0,9.33,55.68,9.33,0,9.33
20260428,FOURCASTNETV2-SMALL,20260421_12_AI,55.4375,9.56,0,9.56,55.44,9.56,0,9.56
20260429,FOURCASTNETV2-SMALL,20260421_12_AI,54.7525,10.25,0,10.25,54.75,10.25,0,10.25
20260430,FOURCASTNETV2-SMALL,20260421_12_AI,54.655,10.34,0,10.34,54.66,10.34,0,10.34
20260501,FOURCASTNETV2-SMALL,20260421_12_AI,52.575,12.42,0,12.42,52.58,12.42,0,12.42
20260502,FOURCASTNETV2-SMALL,20260421_12_AI,53.03,11.97,0,11.97,53.03,11.97,0,11.97
20260503,FOURCASTNETV2-SMALL,20260421_12_AI,54.6175,10.38,0,10.38,54.62,10.38,0,10.38
20260504,FOURCASTNETV2-SMALL,20260421_12_AI,58.93,6.07,0,6.07,58.93,6.07,0,6.07
20260505,FOURCASTNETV2-SMALL,20260421_12_AI,62.96,2.04,0,2.04,62.96,2.04,0,2.04
20260506,FOURCASTNETV2-SMALL,20260421_12_AI,61.52,3.48,0,3.48,61.52,3.48,0,3.48
