date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-09-16,71.24,0.0,6.24,6.24,71.24,0.0,6.24,6.24,GOOGLE_WN3,20260916_00
2026-09-17,71.91,0.0,6.91,6.91,71.91,0.0,6.91,6.91,GOOGLE_WN3,20260916_00
2026-09-18,72.7,0.0,7.7,7.7,72.7,0.0,7.7,7.7,GOOGLE_WN3,20260916_00
2026-09-19,72.71,0.0,7.71,7.71,72.71,0.0,7.71,7.71,GOOGLE_WN3,20260916_00
2026-09-20,73.12,0.0,8.12,8.12,73.12,0.0,8.12,8.12,GOOGLE_WN3,20260916_00
2026-09-21,73.12,0.0,8.12,8.12,73.12,0.0,8.12,8.12,GOOGLE_WN3,20260916_00
2026-09-22,72.84,0.0,7.84,7.84,72.84,0.0,7.84,7.84,GOOGLE_WN3,20260916_00
2026-09-23,72.59,0.0,7.59,7.59,72.59,0.0,7.59,7.59,GOOGLE_WN3,20260916_00
2026-09-24,72.26,0.0,7.26,7.26,72.26,0.0,7.26,7.26,GOOGLE_WN3,20260916_00
2026-09-25,71.46,0.0,6.46,6.46,71.46,0.0,6.46,6.46,GOOGLE_WN3,20260916_00
2026-09-26,70.78,0.0,5.78,5.78,70.78,0.0,5.78,5.78,GOOGLE_WN3,20260916_00
2026-09-27,70.39,0.0,5.39,5.39,70.39,0.0,5.39,5.39,GOOGLE_WN3,20260916_00
2026-09-28,69.42,0.0,4.42,4.42,69.42,0.0,4.42,4.42,GOOGLE_WN3,20260916_00
2026-09-29,69.35,0.0,4.35,4.35,69.35,0.0,4.35,4.35,GOOGLE_WN3,20260916_00
2026-09-30,69.37,0.0,4.37,4.37,69.37,0.0,4.37,4.37,GOOGLE_WN3,20260916_00
