date,peak_gas_mw,offpeak_gas_mw,peak_offpeak_ratio,peak_load_mw,offpeak_load_mw,peaker_proxy_pct,sample_hours
2026-05-08,94444,109335,0.86,278288,289206,-15.8,24
2026-05-09,93307,104339,0.89,272493,288982,-11.8,24
2026-05-10,83648,96831,0.86,265480,291862,-15.8,24
2026-05-11,96098,108714,0.88,280382,290577,-13.1,24
2026-05-12,84579,117066,0.72,286291,303876,-38.4,24
2026-05-13,91196,110547,0.82,291371,310100,-21.2,24
2026-05-14,82949,109647,0.76,294793,311597,-32.2,24
2026-05-15,84396,103196,0.82,296488,313414,-22.3,24
2026-05-16,77887,99750,0.78,282998,312588,-28.1,24
2026-05-17,72909,100693,0.72,258694,309312,-38.1,24
2026-05-18,104922,119050,0.88,332996,343668,-13.5,24
2026-05-19,118642,136177,0.87,340803,360934,-14.8,24
2026-05-20,125818,148255,0.85,317526,346182,-17.8,24
2026-05-21,112317,135892,0.83,292910,322343,-21.0,24
2026-05-22,105252,115810,0.91,290707,304055,-10.0,24
2026-05-23,90076,108251,0.83,245704,294639,-20.2,24
2026-05-24,99232,114150,0.87,272520,289998,-15.0,24
2026-05-25,96216,113770,0.85,281666,299983,-18.2,24
2026-05-26,110912,121932,0.91,307590,321820,-9.9,24
2026-05-27,123409,142596,0.87,317105,338812,-15.5,24
2026-05-28,85983,137426,0.63,223769,313229,-59.8,24
2026-05-29,82477,99802,0.83,222296,237349,-21.0,24
2026-05-30,60689,84254,0.72,210322,239238,-38.8,24
2026-05-31,62121,77012,0.81,205433,227831,-24.0,24
2026-06-01,74621,91480,0.82,227024,239762,-22.6,24
2026-06-02,47215,82822,0.57,139988,216154,-75.4,24
2026-06-03,48308,54212,0.89,131670,147786,-12.2,24
2026-06-04,49396,56214,0.88,136609,148103,-13.8,24
2026-06-05,81773,101802,0.8,231340,250088,-24.5,24
2026-06-06,49084,91710,0.54,133979,222329,-86.8,24
2026-06-07,37762,53578,0.7,130987,145474,-41.9,24
2026-06-08,77674,88970,0.87,238644,252212,-14.5,24
2026-06-09,126328,149461,0.85,349592,373717,-18.3,24
2026-06-10,132818,154171,0.86,371581,394536,-16.1,24
2026-06-11,144301,162920,0.89,382350,405364,-12.9,24
2026-06-12,145583,173542,0.84,370583,408055,-19.2,24
2026-06-13,124174,157338,0.79,341284,390033,-26.7,24
2026-06-14,117738,142088,0.83,324977,370654,-20.7,24
2026-06-15,131072,148004,0.89,322762,347280,-12.9,24
2026-06-16,110494,141141,0.78,316441,342678,-27.7,24
2026-06-17,109239,132648,0.82,333375,350712,-21.4,24
2026-06-18,120442,134663,0.89,345648,366103,-11.8,24
2026-06-19,113995,149485,0.76,294244,354477,-31.1,24
2026-06-20,110367,139333,0.79,304065,338954,-26.2,24
2026-06-21,97382,127185,0.77,302723,336659,-30.6,24
2026-06-22,114405,133416,0.86,337264,347806,-16.6,24
2026-06-23,125711,148687,0.85,335478,356332,-18.3,24
2026-06-24,120855,142935,0.85,330041,357023,-18.3,24
2026-06-25,125460,145583,0.86,339762,366117,-16.0,24
2026-06-26,127616,146260,0.87,346005,370283,-14.6,24
2026-06-27,112640,137112,0.82,329728,366225,-21.7,24
2026-06-28,104865,130512,0.8,335171,363347,-24.5,24
2026-06-29,116619,140742,0.83,384612,391734,-20.7,24
2026-06-30,138963,165311,0.84,396272,427388,-19.0,24
2026-07-01,151800,175156,0.87,406339,436723,-15.4,24
2026-07-02,161171,188833,0.85,414712,448943,-17.2,24
2026-07-03,155166,185876,0.83,402861,446978,-19.8,24
2026-07-04,144530,176632,0.82,376694,423017,-22.2,24
2026-07-05,138857,171029,0.81,348848,388873,-23.2,24
2026-07-06,153617,168815,0.91,369168,390371,-9.9,24
2026-07-07,151214,173881,0.87,368662,398236,-15.0,24
2026-07-08,146890,173184,0.85,373391,401615,-17.9,24
2026-07-09,150800,181088,0.83,387968,418515,-20.1,24
2026-07-10,154997,183872,0.84,386070,418207,-18.6,24
2026-07-11,156001,174971,0.89,357531,402720,-12.2,24
2026-07-12,141764,166188,0.85,346050,384797,-17.2,24
2026-07-13,144607,170813,0.85,329083,380272,-18.1,24
2026-07-14,167570,190685,0.88,386045,415333,-13.8,24
2026-07-15,178400,200502,0.89,402261,434879,-12.4,24
2026-07-16,172577,197400,0.87,396803,431536,-14.4,24
2026-07-17,164295,189038,0.87,387312,422840,-15.1,24
2026-07-18,144729,175995,0.82,377535,415309,-21.6,24
2026-07-19,143076,169372,0.84,352913,398902,-18.4,24
2026-07-20,146938,171561,0.86,367270,397367,-16.8,24
2026-07-21,160667,184914,0.87,394829,415260,-15.1,24
2026-07-22,160230,187501,0.85,375053,413161,-17.0,24
2026-07-23,148044,179780,0.82,351821,394294,-21.4,24
2026-07-24,147452,166353,0.89,352400,383176,-12.8,24
2026-07-25,131157,161698,0.81,345521,383971,-23.3,24
2026-07-26,109961,110344,1.0,270496,249817,-0.3,24
2026-07-27,128657,145628,0.88,303094,316451,-13.2,24
2026-07-28,130232,150316,0.87,298154,320540,-15.4,24
2026-07-29,167496,145431,1.15,396585,331175,13.2,24
2026-07-30,163832,141814,1.16,401035,328880,13.4,24
2026-07-31,171697,150132,1.14,410697,341204,12.6,24
2026-08-01,163970,152386,1.08,383295,334728,7.1,24
2026-08-02,164222,154497,1.06,379576,326500,5.9,24
2026-08-03,168574,145535,1.16,415804,334034,13.7,24
2026-08-04,170578,140884,1.21,411653,334995,17.4,24
2026-08-05,176419,148660,1.19,419204,343600,15.7,24
2026-08-06,191755,160053,1.2,430122,353062,16.5,24
2026-08-07,192673,162880,1.18,431940,356289,15.5,24
2026-08-08,178534,158566,1.13,409051,343927,11.2,24
2026-08-09,171517,148232,1.16,408152,338936,13.6,24
2026-08-10,187247,153893,1.22,431871,351478,17.8,24
2026-08-11,182536,156365,1.17,423760,355296,14.3,24
2026-08-12,177088,152757,1.16,420119,351680,13.7,24
2026-08-13,176704,149887,1.18,424922,352774,15.2,24
2026-08-14,170804,149354,1.14,414846,351765,12.6,24
2026-08-15,162601,143168,1.14,392102,338577,12.0,24
2026-08-16,167729,150088,1.12,389903,334668,10.5,24
2026-08-17,194237,158984,1.22,416823,338267,18.1,24
2026-08-18,187115,158224,1.18,418375,342254,15.4,24
2026-08-19,190086,157043,1.21,416897,343709,17.4,24
2026-08-20,188995,161370,1.17,414129,342176,14.6,24
2026-08-21,179566,156568,1.15,401910,335726,12.8,24
2026-08-22,161018,147647,1.09,378765,326388,8.3,24
2026-08-23,154566,144019,1.07,370868,316066,6.8,24
2026-08-24,168542,142975,1.18,389298,320715,15.2,24
2026-08-25,173964,150185,1.16,394650,325940,13.7,24
2026-08-26,189497,157503,1.2,406945,332107,16.9,24
2026-08-27,192803,170980,1.13,409654,338942,11.3,24
2026-08-28,180019,160875,1.12,405438,332092,10.6,24
2026-08-29,139790,130416,1.07,374021,318546,6.7,24
2026-08-30,146448,121925,1.2,385320,320021,16.7,24
2026-08-31,178241,139212,1.28,419639,337992,21.9,24
2026-09-01,189270,150637,1.26,432383,348522,20.4,24
2026-09-02,179986,147046,1.22,429403,353711,18.3,24
2026-09-03,179707,144092,1.25,429594,355372,19.8,24
2026-09-04,178530,147014,1.21,422575,351782,17.7,24
2026-09-05,158881,140810,1.13,384409,335120,11.4,24
2026-09-06,147129,134320,1.1,359757,314910,8.7,24
2026-09-07,137843,124526,1.11,368100,305192,9.7,24
2026-09-08,168984,133004,1.27,404275,320021,21.3,24
2026-09-09,188323,154720,1.22,419839,342564,17.8,24
2026-09-10,179789,159121,1.13,406702,344202,11.5,24
2026-09-11,158383,142472,1.11,389117,329443,10.0,24
2026-09-12,146691,127796,1.15,369788,316403,12.9,24
2026-09-13,144855,132525,1.09,368310,315204,8.5,24
2026-09-14,130128,122810,1.06,366411,313016,5.6,24
2026-09-15,148934,121676,1.22,375876,310819,18.3,24
2026-09-16,169465,142849,1.19,385341,318541,15.7,24
2026-09-17,176262,149272,1.18,394836,325026,15.3,24
2026-09-18,158524,137723,1.15,382854,323646,13.1,24
2026-09-19,140787,122687,1.15,347213,303530,12.9,24
2026-09-20,144210,127174,1.13,346932,297295,11.8,24
2026-09-21,144402,128563,1.12,350726,298266,11.0,24
2026-09-22,135888,126348,1.08,340878,288670,7.0,23
