date,iso,natural_gas_mw,wind_mw,solar_mw,coal_mw,nuclear_mw,load_mw,total_thermal_mw,gas_pct_thermal,gas_pct_load,wind_30d_avg_mw,wind_anomaly_mw,gas_burn_impact
2026-03-21,MISO,29762,5523,590,18659.0,8073,69287,,,,14268,-8745,BULLISH (Wind Drought)
2026-03-21,NATIONAL,85371,25345,7893,34015.0,33707,215864,153093.0,55.8,39.5,52799,-27454,BULLISH (Wind Drought)
2026-03-21,NYISO,9021,309,0,0.0,2066,17144,,,,992,-683,NEUTRAL
2026-03-21,PJM,35111,5002,76,14594.0,31098,87112,,,,5192,-191,NEUTRAL
2026-03-21,SPP,13999,6148,243,10640.0,2024,34698,,,,14832,-8685,BULLISH (Wind Drought)
2026-03-22,CAISO,2803,4310,3627,0.0,2271,27569,,,,1604,2706,BEARISH (Strong Wind)
2026-03-22,ERCOT,19781,21216,4191,6693.0,3744,58871,,,,17392,3824,BEARISH (Strong Wind)
2026-03-22,ISONE,6523,535,2,3.0,3618,13066,,,,843,-307,NEUTRAL
2026-03-22,MISO,23188,17949,780,16135.0,8082,68772,,,,14207,3742,BEARISH (Strong Wind)
2026-03-22,NATIONAL,64473,50329,7446,28737.0,33171,208960,126381.0,51.0,30.9,52592,-2263,NEUTRAL
2026-03-22,NYISO,8164,502,0,0.0,2045,16354,,,,984,-482,NEUTRAL
2026-03-22,PJM,30786,5808,170,13684.0,31096,83373,,,,5046,762,NEUTRAL
2026-03-22,SPP,6992,19786,237,6454.0,2026,36068,,,,14724,5063,BEARISH (Strong Wind)
2026-03-23,CAISO,3295,4181,4268,0.0,2276,26327,,,,1731,2450,BEARISH (Strong Wind)
2026-03-23,ERCOT,18058,24377,3346,7427.0,3751,59677,,,,17309,7068,BEARISH (Strong Wind)
2026-03-23,ISONE,6834,556,0,3.0,3631,13665,,,,861,-306,NEUTRAL
2026-03-23,MISO,25869,18648,526,16368.0,7420,70956,,,,14182,4466,BEARISH (Strong Wind)
2026-03-23,NATIONAL,66780,54250,7168,27657.0,32583,210654,127020.0,52.6,31.7,53030,1220,NEUTRAL
2026-03-23,NYISO,8240,487,0,0.0,2017,16650,,,,997,-510,NEUTRAL
2026-03-23,PJM,34651,7795,72,14072.0,30892,89009,,,,5110,2685,BEARISH (Strong Wind)
2026-03-23,SPP,5172,20002,130,3665.0,2026,31965,,,,15112,4889,BEARISH (Strong Wind)
2026-03-24,CAISO,4426,3390,4252,0.0,2274,28653,,,,1864,1526,BEARISH (Strong Wind)
2026-03-24,ERCOT,29752,5350,3677,8210.0,3746,55695,,,,17144,-11794,BULLISH (Wind Drought)
2026-03-24,ISONE,7488,635,0,3.0,3602,14983,,,,847,-212,NEUTRAL
2026-03-24,MISO,31766,14076,682,19097.0,7098,73527,,,,14279,-203,NEUTRAL
