date,mean_temp,tdd,tdd_gw,model,run_id
2026-03-01,32.24,32.76,32.76,CMC_ENS,20260301_00
2026-03-02,27.08,37.92,37.92,CMC_ENS,20260301_00
2026-03-03,34.97,30.03,30.03,CMC_ENS,20260301_00
2026-03-04,42.78,22.22,22.22,CMC_ENS,20260301_00
2026-03-05,46.23,18.77,18.77,CMC_ENS,20260301_00
2026-03-06,50.25,14.75,14.75,CMC_ENS,20260301_00
2026-03-07,52.23,12.77,12.77,CMC_ENS,20260301_00
2026-03-08,51.4,13.6,13.6,CMC_ENS,20260301_00
2026-03-09,52.32,12.68,12.68,CMC_ENS,20260301_00
2026-03-10,51.52,13.48,13.48,CMC_ENS,20260301_00
2026-03-11,52.54,12.46,12.46,CMC_ENS,20260301_00
2026-03-12,44.0,21.0,21.0,CMC_ENS,20260301_00
2026-03-13,32.14,32.86,32.86,CMC_ENS,20260301_00
2026-03-14,31.52,33.48,33.48,CMC_ENS,20260301_00
2026-03-15,29.34,35.66,35.66,CMC_ENS,20260301_00
2026-03-16,27.79,37.21,37.21,CMC_ENS,20260301_00
