date,mean_temp,tdd,tdd_gw,model,run_id
2026-02-26,32.63,32.37,32.37,CMC_ENS,20260226_00
2026-02-27,34.86,30.14,30.14,CMC_ENS,20260226_00
2026-02-28,37.05,27.95,27.95,CMC_ENS,20260226_00
2026-03-01,30.28,34.72,34.72,CMC_ENS,20260226_00
2026-03-02,24.12,40.88,40.88,CMC_ENS,20260226_00
2026-03-03,27.41,37.59,37.59,CMC_ENS,20260226_00
2026-03-04,37.38,27.62,27.62,CMC_ENS,20260226_00
2026-03-05,40.76,24.24,24.24,CMC_ENS,20260226_00
2026-03-06,48.03,16.97,16.97,CMC_ENS,20260226_00
2026-03-07,50.38,14.62,14.62,CMC_ENS,20260226_00
2026-03-08,53.43,11.57,11.57,CMC_ENS,20260226_00
2026-03-09,56.92,8.08,8.08,CMC_ENS,20260226_00
2026-03-10,57.83,7.17,7.17,CMC_ENS,20260226_00
2026-03-11,52.75,12.25,12.25,CMC_ENS,20260226_00
2026-03-12,42.38,22.62,22.62,CMC_ENS,20260226_00
2026-03-13,45.62,19.38,19.38,CMC_ENS,20260226_00
