date,mean_temp,tdd,tdd_gw,model,run_id
2026-03-03,34.89,30.11,30.11,CMC_ENS,20260302_00
2026-03-04,41.18,23.82,23.82,CMC_ENS,20260302_00
2026-03-05,43.54,21.46,21.46,CMC_ENS,20260302_00
2026-03-06,50.27,14.73,14.73,CMC_ENS,20260302_00
2026-03-07,54.78,10.22,10.22,CMC_ENS,20260302_00
2026-03-08,50.74,14.26,14.26,CMC_ENS,20260302_00
2026-03-09,50.5,14.5,14.5,CMC_ENS,20260302_00
2026-03-10,53.18,11.82,11.82,CMC_ENS,20260302_00
2026-03-11,54.79,10.21,10.21,CMC_ENS,20260302_00
2026-03-12,43.07,21.93,21.93,CMC_ENS,20260302_00
2026-03-13,36.17,28.83,28.83,CMC_ENS,20260302_00
2026-03-14,35.72,29.28,29.28,CMC_ENS,20260302_00
2026-03-15,32.44,32.56,32.56,CMC_ENS,20260302_00
2026-03-16,29.57,35.43,35.43,CMC_ENS,20260302_00
2026-03-17,35.12,29.88,29.88,CMC_ENS,20260302_00
2026-03-18,44.0,21.0,21.0,CMC_ENS,20260302_00
